Complete Class Schedule with Students:
Time Slot	Room	Course	Teacher	Students
TH 9:55 AM-12:45 PM	PK337	006035	0409737	3799593, 3833424, 3846920, 3819269, 3930301, 3910629, 3816483, 3222918, 4175505, 3690361
MWF 11:10 AM-12:00 PM	PK338	005741	4362771	3717144, 3910617, 3910650, 4086443, 3819542
MWF 11:10 AM-12:00 PM	EHI	013919	0897399	4174837, 4281163, 4176080, 3930301, 3994733, 3930190
TH 9:55 AM-12:45 PM	EHIII	006034	0213446	4043543, 4127521, 4151626, 3931666, 3983482, 4095703, 4095088, 3915026, 4094640, 3930817, 4000502, 4280948
MWF 9:10 AM-10:00 AM	DAL300	006031	3839982	3881597, 4127521, 4140259, 4174768, 4175300, 4232308, 4233573, 4278383, 4280653, 4150362, 4175313, 3821008, 3902439, 4086619, 3848415, 3650239, 3820378, 3970539, 3983482, 4044087, 4092633, 4175326, 4175535, 3936964, 3974846, 4086269, 4094640, 4280524, 4281093, 3910652, 3931881, 4094965, 4143476, 3759092, 4175519, 4175528, 4176463, 4175534, 4175494, 4277662, 3910547, 3910848, 4373610, 4086257
TH 9:55 AM-12:45 PM	PK336	011859	3332662	3903833, 3909951, 3930054, 3823278, 3914354, 3671929, 3797683, 3929776
MWF 11:10 AM-12:00 PM	DAL10	003465	0599596	3788743, 4270406, 4175535, 3816483, 4467145, 3819380
MWF 9:10 AM-10:00 AM	TH104	001845	3646542	3818025, 3822778, 3931946, 3970633, 3818762, 3847931, 3968696, 4093066, 4134408, 4175330, 3914552, 4091072, 4086287
T 9:10 AM-12:30 PM	PK25	013155	3198619	4003199, 3821687, 3768620, 3789070, 3860451, 3913807
TH 9:55 AM-12:45 PM	DAL1	006060	0409737	3692862, 3820963, 3821393, 3816486, 3910487, 3796906, 3821643, 3769368, 3715155, 3910695, 3820971, 3667464
TH 9:55 AM-12:45 PM	TAYC	015445	0162976	3730202, 3817427, 3815949, 3816549, 3910668, 3910744, 3689944, 3715174, 3793534, 3910766, 3818227, 3695345, 3816466, 3792443, 3797576, 3819542
MWF 11:10 AM-12:00 PM	TH224	014114	0827051	3915711, 4090806, 4278573, 4175510, 4175437, 3897515, 4092633, 4095128, 3858245, 4175489, 4175528, 4000502
MWF 10:10 AM-11:00 AM	PK259	012734	0772775	3796254, 3612203, 3683644
