Class ID	Preference Count	Enrollment Count	Fit Percentage
004010	29	11	37.93%
010851	30	11	36.67%
006539	25	9	36.00%
002153	155	55	35.48%
008469	18	6	33.33%
012107	24	8	33.33%
010933	3	1	33.33%
008764	42	13	30.95%
014099	30	8	26.67%
013286	12	3	25.00%
015016	17	4	23.53%
004012	40	9	22.50%
006851	27	6	22.22%
017168	19	4	21.05%
015135	19	4	21.05%
003406	42	7	16.67%
008773	18	3	16.67%
014569	141	18	12.77%
011827	11	1	9.09%
008821	10	0	0.00%
